Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAR,RA-2023-0036,BR1003447,BR1003561,115,295.81,RockChip,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,4/19/2023,ME-OGREE,Th,4/24/2023,5/18/2023,BH23107914,VESPASIANO/MG,ULS
BRAR,RA-2023-0036,BR1004433,BR1004468,36,92.6,RockChip,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,4/19/2023,ME-OGREE,Th,4/24/2023,5/18/2023,BH23107914,VESPASIANO/MG,ULS
BRAR,RA-2023-0036,BR1004615,BR1004657,43,110.61,RockChip,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,4/19/2023,ME-OGREE,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/24/2023,5/18/2023,BH23107914,VESPASIANO/MG,ULS
BRAR,RA-2023-0040,BR0010001,BR0010079,79,218.46,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,4/28/2023,GQ2303636,VESPASIANO/MG,ULS
BRAR,RA-2023-0041,BR0010080,BR0010187,108,295.45,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,4/27/2023,GQ2303638,VESPASIANO/MG,ULS
BRAR,RA-2023-0042,BR0010188,BR0010274,87,215.32,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,4/28/2023,GQ2303640,VESPASIANO/MG,ULS
BRAR,RA-2023-0043,BR0010275,BR0010401,127,325.07,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,5/3/2023,GQ2303694,VESPASIANO/MG,ULS
BRAR,RA-2023-0044,BR0010402,BR0010508,107,287.83,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,5/4/2023,GQ2303697,VESPASIANO/MG,ULS
BRAR,RA-2023-0045,BR0010509,BR0010585,77,214.88,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,5/2/2023,GQ2303699,VESPASIANO/MG,SDS
BRAR,RA-2023-0046,BR0010586,BR0010667,82,206.47,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/4/2023,4/28/2023,GQ2303702,VESPASIANO/MG,SDS
BRAR,RA-2023-0047,BR0010668,BR0010752,85,213.98,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,5/9/2023,GQ2303704,VESPASIANO/MG,SDS
BRAR,RA-2023-0048,BR0010753,BR0010851,99,237.13,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,5/17/2023,GQ2303707,VESPASIANO/MG,SDS
BRAR,RA-2023-0049,BR0010852,BR0010934,83,215.72,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,NA,4/4/2023,5/8/2023,GQ2303708,VESPASIANO/MG,SDS
BRAR,RA-2023-0050,BR0010935,BR0011012,78,179.74,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/4/2023,5/9/2023,GQ2303711,VESPASIANO/MG,SDS
BRAR,RA-2023-0051,BR0011013,BR0011081,69,171.4,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/4/2023,5/9/2023,GQ2303713,VESPASIANO/MG,SDS
